Time_s,Current_A
0,0
1.00E-05,0
2.00E-05,0
3.00E-05,0
4.00E-05,0
5.00E-05,0
6.00E-05,0
7.00E-05,0
8.00E-05,0
9.00E-05,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,0
0.00015,0
0.00016,0
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,0
0.00025,0
0.00026,0
0.00027,0
0.00028,0
0.00029,0
0.0003,0
0.00031,0
0.00032,0
0.00033,0
0.00034,0
0.00035,0
0.00036,0
0.00037,0
0.00038,0
0.00039,0
0.0004,0
0.00041,0
0.00042,0
0.00043,0
0.00044,0
0.00045,0
0.00046,0
0.00047,0
0.00048,0
0.00049,0
0.0005,0
0.00051,0
0.00052,0
0.00053,0
0.00054,0
0.00055,0
0.00056,0
0.00057,0
0.00058,0
0.00059,0
0.0006,0
0.00061,0
0.00062,0
0.00063,0
0.00064,0
0.00065,0
0.00066,0
0.00067,0
0.00068,0
0.00069,0
0.0007,0
0.00071,0
0.00072,2.25E-06
0.00073,7.89E-06
0.00074,1.35E-05
0.00075,1.92E-05
0.00076,2.48E-05
0.00077,3.04E-05
0.00078,3.61E-05
0.00079,4.17E-05
0.0008,4.73E-05
0.00081,5.30E-05
0.00082,5.86E-05
0.00083,6.42E-05
0.00084,6.99E-05
0.00085,7.55E-05
0.00086,8.11E-05
0.00087,8.68E-05
0.00088,9.24E-05
0.00089,9.80E-05
0.0009,0.000103654
0.00091,0.000103795
0.00092,0.000103795
0.00093,0.000103795
0.00094,0.000103795
0.00095,0.000103795
0.00096,0.000103795
0.00097,0.000103795
0.00098,0.000103795
0.00099,0.000103795
0.001,0.000103795
0.00101,0.000103795
0.00102,0.000103795
0.00103,0.000103795
0.00104,0.000103795
0.00105,0.000103795
0.00106,0.000103795
0.00107,0.000103795
0.00108,0.000103795
0.00109,0.000103795
0.0011,0.000103795
0.00111,0.000103795
0.00112,0.000103795
0.00113,0.000103795
0.00114,0.000103795
0.00115,0.000103795
0.00116,0.000103795
0.00117,0.000103795
0.00118,0.000103795
0.00119,0.000103795
0.0012,0.000103795
0.00121,0.000103795
0.00122,0.000103795
0.00123,0.000103795
0.00124,0.000103795
0.00125,0.000103795
0.00126,0.000103795
0.00127,0.000103795
0.00128,0.000103795
0.00129,0.000103795
0.0013,0.000103795
0.00131,0.000103795
0.00132,0.000103795
0.00133,0.000103795
0.00134,0.000103795
0.00135,0.000103795
0.00136,0.000103795
0.00137,0.000103795
0.00138,0.000103795
0.00139,0.000103795
0.0014,0.000103795
0.00141,0.000103795
0.00142,0.000103795
0.00143,0.000103795
0.00144,0.000103795
0.00145,0.000103795
0.00146,0.000103795
0.00147,0.000103795
0.00148,0.000103795
0.00149,0.000103795
0.0015,0.000103795
0.00151,0.000103795
0.00152,0.000103795
0.00153,0.000103795
0.00154,0.000103795
0.00155,0.000103795
0.00156,0.000103795
0.00157,0.000103795
0.00158,0.000103795
0.00159,0.000103795
0.0016,0.000103795
0.00161,0.000103795
0.00162,0.000103795
0.00163,0.000103795
0.00164,0.000103795
0.00165,0.000103795
0.00166,0.000103795
0.00167,0.000103795
0.00168,0.000103795
0.00169,0.000103795
0.0017,0.000103795
0.00171,0.000103795
0.00172,0.000103795
0.00173,0.000103795
0.00174,0.000103795
0.00175,0.000103795
0.00176,0.000103795
0.00177,0.000103795
0.00178,0.000103795
0.00179,0.000103795
0.0018,0.000103795
0.00181,0.000103795
0.00182,0.000103795
0.00183,0.000103795
0.00184,0.000103795
0.00185,0.000103795
0.00186,0.000103795
0.00187,0.000103795
0.00188,0.000103795
0.00189,0.000103795
0.0019,0.000103795
0.00191,0.000103795
0.00192,0.000103795
0.00193,0.000103795
0.00194,0.000103795
0.00195,0.000103795
0.00196,0.000103795
0.00197,0.000103795
0.00198,0.000103795
0.00199,0.000103795
0.002,0.000103795
0.00201,0.000103795
0.00202,0.000103795
0.00203,0.000103795
0.00204,0.000103795
0.00205,0.000103795
0.00206,0.000103795
0.00207,0.000103795
0.00208,0.000103795
0.00209,0.000103795
0.0021,0.000103795
0.00211,0.000103795
0.00212,0.000103795
0.00213,0.000103795
0.00214,0.000103795
0.00215,0.000103795
0.00216,0.000103795
0.00217,0.000103795
0.00218,0.000103795
0.00219,0.000103795
0.0022,0.000103795
0.00221,0.000103795
0.00222,0.000103795
0.00223,0.000103795
0.00224,0.000103795
0.00225,0.000103795
0.00226,0.000103795
0.00227,0.000103795
0.00228,0.000103795
0.00229,0.000103795
0.0023,0.000103795
0.00231,0.000103795
0.00232,0.000103795
0.00233,0.000103795
0.00234,0.000103795
0.00235,0.000103795
0.00236,0.000103795
0.00237,0.000103795
0.00238,0.000103795
0.00239,0.000103795
0.0024,0.000103795
0.00241,0.000103795
0.00242,0.000103795
0.00243,0.000103795
0.00244,0.000103795
0.00245,0.000103795
0.00246,0.000103795
0.00247,0.000103795
0.00248,0.000103795
0.00249,0.000103795
0.0025,0.000103795
0.00251,0.000103795
0.00252,0.000103795
0.00253,0.000103795
0.00254,0.000103795
0.00255,0.000103795
0.00256,0.000103795
0.00257,0.000103795
0.00258,0.000103795
0.00259,0.000103795
0.0026,0.000103795
0.00261,0.000103795
0.00262,0.000103795
0.00263,0.000103795
0.00264,0.000103795
0.00265,0.000103795
0.00266,0.000103795
0.00267,0.000103795
0.00268,0.000103795
0.00269,0.000103795
0.0027,0.000103795
0.00271,0.000103795
0.00272,0.000103795
0.00273,0.000103795
0.00274,0.000103795
0.00275,0.000103795
0.00276,0.000103795
0.00277,0.000103795
0.00278,0.000103795
0.00279,0.000103795
0.0028,0.000103795
0.00281,0.000103795
0.00282,0.000103795
0.00283,0.000103795
0.00284,0.000103795
0.00285,0.000103795
0.00286,0.000103795
0.00287,0.000103795
0.00288,0.000103795
0.00289,0.000103795
0.0029,0.000103795
0.00291,0.000103795
0.00292,0.000103795
0.00293,0.000103795
0.00294,0.000103795
0.00295,0.000103795
0.00296,0.000103795
0.00297,0.000103795
0.00298,0.000103795
0.00299,0.000103795
0.003,0.000103795
0.00301,0.000103795
0.00302,0.000103795
0.00303,0.000103795
0.00304,0.000103795
0.00305,0.000103795
0.00306,0.000103795
0.00307,0.000103795
0.00308,0.000103795
0.00309,0.000103795
0.0031,0.000103795
0.00311,0.000103795
0.00312,0.000103795
0.00313,0.000103795
0.00314,0.000103795
0.00315,0.000103795
0.00316,0.000103795
0.00317,0.000103795
0.00318,0.000103795
0.00319,0.000103795
0.0032,0.000103795
0.00321,0.000103795
0.00322,0.000103232
0.00323,9.76E-05
0.00324,9.20E-05
0.00325,8.63E-05
0.00326,8.07E-05
0.00327,7.51E-05
0.00328,6.94E-05
0.00329,6.38E-05
0.0033,5.82E-05
0.00331,5.25E-05
0.00332,4.69E-05
0.00333,4.13E-05
0.00334,3.56E-05
0.00335,3.00E-05
0.00336,2.44E-05
0.00337,1.87E-05
0.00338,1.31E-05
0.00339,7.46E-06
0.0034,1.83E-06
0.00341,0
0.00342,0
0.00343,0
0.00344,0
0.00345,0
0.00346,0
0.00347,0
0.00348,0
0.00349,0
0.0035,0
0.00351,0
0.00352,0
0.00353,0
0.00354,0
0.00355,0
0.00356,0
0.00357,0
0.00358,0
0.00359,0
0.0036,0
0.00361,0
0.00362,0
0.00363,0
0.00364,0
0.00365,0
0.00366,0
0.00367,0
0.00368,0
0.00369,0
0.0037,0
0.00371,0
0.00372,0
0.00373,0
0.00374,0
0.00375,0
0.00376,0
0.00377,0
0.00378,0
0.00379,0
0.0038,0
0.00381,0
0.00382,0
0.00383,0
0.00384,0
0.00385,0
0.00386,0
0.00387,0
0.00388,0
0.00389,0
0.0039,0
0.00391,0
0.00392,0
0.00393,0
0.00394,0
0.00395,0
0.00396,0
0.00397,0
0.00398,0
0.00399,0
0.004,0
0.00401,0
0.00402,0
0.00403,0
0.00404,0
0.00405,0
0.00406,0
0.00407,0
0.00408,0
0.00409,0
0.0041,0
0.00411,0
0.00412,0
0.00413,0
0.00414,0
0.00415,0
0.00416,0
0.00417,0
0.00418,0
0.00419,0
0.0042,0
0.00421,0
0.00422,0
0.00423,0
0.00424,0
0.00425,0
0.00426,0
0.00427,0
0.00428,0
0.00429,0
0.0043,0
0.00431,0
0.00432,0
0.00433,0
0.00434,0
0.00435,0
0.00436,0
0.00437,0
0.00438,0
0.00439,0
0.0044,0
0.00441,0
0.00442,0
0.00443,0
0.00444,0
0.00445,0
0.00446,0
0.00447,0
0.00448,0
0.00449,0
0.0045,0
0.00451,0
0.00452,0
0.00453,0
0.00454,0
0.00455,0
0.00456,0
0.00457,0
0.00458,0
0.00459,0
0.0046,0
0.00461,0
0.00462,0
0.00463,0
0.00464,0
0.00465,0
0.00466,0
0.00467,0
0.00468,0
0.00469,0
0.0047,0
0.00471,0
0.00472,0
0.00473,0
0.00474,0
0.00475,0
0.00476,0
0.00477,0
0.00478,0
0.00479,0
0.0048,0
0.00481,0
0.00482,0
0.00483,0
0.00484,0
0.00485,0
0.00486,0
0.00487,0
0.00488,0
0.00489,0
0.0049,0
0.00491,0
0.00492,0
0.00493,0
0.00494,0
0.00495,0
0.00496,0
0.00497,0
0.00498,0
0.00499,0
